BP,Type,Item,Code,Duration,Signer,Question,QuestionType,MultiUnit,SpeakerOnLeft,DyadCode,BackChannelDuringTurn,OverlappingSignsDuringTargetTurn,SpeakerChangeFollowingTargetTurn,Notes,OldMerelQuestion,OldMerelMultiUnit,OldMerelSpeechAct,OldMerelConnieNotes
-1,test,11,11C.mpeg,1160,RC,1,polar,-1,R,YR,-1,-1,1,,1,1,alternative,Of'niet vraag. Opnieuw onderbreking van S2 op S1. multi TCU
-1,test,12,12C.mpeg,2640,RC,1,wh,1,R,YR,-1,1,1,,1,1,alternative,"alternative question, multi TCU"
-1,test,13,13C.mpeg,880,YN,-1,NA,-1,R,YR,-1,1,1,,0,0,,"remark, onderbreking. Misschien te gevoelig."
-1,test,14,14C.mpeg,1840,YN,1,polar,-1,R,YR,-1,1,1,,1,1,OIR,"OIR. multi TCU, 2 vragen. PAS en DOOF"
-1,test,15,15C.mpeg,2000,YN,1,polar,-1,R,YR,1,-1,1,,1,1,,Vraag begint al eerder. In dat geval multi TCU. S1 onderbreekt S2 met een verduidelijkingsvraag.
-1,test,16,16C.mpeg,1440,YN,1,polar,1,R,YR,-1,1,1,,1,1,,"C begint met een antwoord, en dan een ofnietvraag. multi TCU. Ze zijn aan het roddelen maar laten de naam achterwege. Daardoor is het onderwerp van gesprek niet 100 procent duidelijk, om wie of wat het gaat."
-1,test,17,17C.mpeg,2640,YN,-1,NA,1,R,YR,-1,1,1,,1,0,rhetorical,rhetorical question.
-1,test,18,18C.mpeg,4280,RC,-1,NA,-1,R,YR,1,-1,-1,,0,1,,answer to OIR. multi TCU
-1,test,19,19C.mpeg,3320,YN,-1,NA,-1,R,YR,-1,1,1,,1,1,OIR,OIR. Is ook iets van suggestie in vraag. multi TCU
-1,test,20,20C.mpeg,1400,YN,-1,NA,-1,R,YR,-1,-1,1,,1,0,OIR,"OIR, suggestief"
-1,test,21,21C.mpeg,2760,YN,1,polar,-1,R,YR,1,-1,1,,0,1,rhetorical,"rhetorical question, multi TCU"
-1,test,22,22C.mpeg,1480,YN,1,wh,-1,R,YR,-1,-1,1,,1,1,,Multi TCU
-1,test,23,23C.mpeg,2240,YN,1,wh,1,R,YR,-1,-1,1,with a suggestion,1,1,,"multi TCU, vraag met mogelijk antwoord aan het eind"
-1,test,24,24C.mpeg,1720,YN,1,polar,-1,R,YR,-1,-1,1,,1,1,confirmation,"multi TCU, verduidelijkingsvraag"
-1,test,25,25C.mpeg,1360,YN,-1,NA,-1,R,YR,-1,-1,1,,1,0,,Might be a confirmation question (note from group coding)
-1,test,26,26C.mpeg,2480,YN,1,polar,1,R,YR,-1,-1,1,,0,1,confirmation,"multi TCU, bevestigingsvraag"
-1,test,27,27C.mpeg,4040,YN,-1,NA,-1,R,YR,1,-1,1,,0,0,RS,answer to OIR
-1,test,28,28C.mpeg,2120,YN,-1,NA,-1,R,YR,-1,-1,1,,0,0,,
-1,test,29,29C.mpeg,3000,YN,-1,NA,1,R,YR,-1,1,1,,0,1,,multi TCU
-1,test,30,30C.mpeg,1400,YN,-1,NA,-1,R,YR,-1,-1,1,,1,0,OIR,OIR
-1,test,31,31C.mpeg,1400,YN,1,wh,-1,R,YR,-1,1,1,,1,0,,"kan te gevoelig zijn, maar hoeft niet"
-1,test,32,32C.mpeg,1400,YN,1,wh,-1,R,YR,-1,-1,1,,1,0,,
-1,test,33,33C.mpeg,1600,RC,-1,NA,-1,R,YR,-1,1,-1,,0,0,alternative,answer to question. Answer to question komt hierna pas. Nog aanpassen
-1,test,34,34C.mpeg,3000,RC,-1,NA,1,R,YR,-1,-1,1,,0,1,,multi TCU
-1,test,35,35C.mpeg,4000,RC,-1,NA,1,R,YR,-1,-1,1,,0,1,,multi TCU
-1,test,36,36C.mpeg,1080,RC,1,polar,-1,R,YR,-1,1,1,,0,0,rhetorical,rhetorical question
-1,test,37,37C.mpeg,1600,YN,1,polar,-1,R,YR,-1,-1,1,,1,0,,Vraag begint al bij A.
-1,test,38,38C.mpeg,2680,YN,-1,NA,1,R,YR,-1,1,1,,1,1,confirmation,bevestigingsvraag en multi TCU (also noted in group coding meeting)
-1,test,39,39C.mpeg,1480,YN,-1,NA,-1,R,YR,-1,-1,1,,1,0,confirmation,"bevestigingsvraag, moet eigenlijk nog langer doorlopen. Evt nog aanpassen"
-1,test,40,40C.mpeg,1720,RC,-1,NA,-1,R,YR,-1,-1,1,,0,0,,
-1,test,41,41C.mpeg,1920,YN,-1,NA,-1,R,YR,-1,1,1,,0,1,,multi TCU
-1,test,42,42C.mpeg,3280,RC,1,wh,1,R,YR,-1,1,1,,1,1,,multi TCU
-1,test,43,43C.mpeg,3280,RC,-1,NA,-1,R,YR,-1,-1,1,,0,1,,multi TCU
-1,test,44,44C.mpeg,1600,RC,1,polar,-1,R,YR,-1,1,1,,0,1,,misschien multi TCU
-1,test,45,45C.mpeg,1480,YN,-1,NA,-1,R,YR,-1,-1,1,,0,0,,misschien te persoonlijk
-1,test,46,46C.mpeg,2400,YN,1,polar,1,R,YR,-1,1,-1,,0,1,,"Sterk overlap, antwoord op vraag ook in C. Onderwerp is getallen, maar niet duidelijk of het om euro{s gaat. Kan verwarring oproepen, gezien het onderwep en de aantallen. multi TCU"
-1,test,47,47C.mpeg,2120,RC,1,polar,1,R,YR,-1,1,1,,1,1,,multi TCU
-1,test,48,48C.mpeg,5040,YN,-1,NA,-1,R,YR,-1,-1,1,,0,1,,"Multi TCU. ZIe opmerking bij 46, het gaat om airmiles blijkt nu."
-1,test,49,49C.mpeg,1600,RC,1,polar,-1,R,YR,-1,1,1,,0,0,,
-1,test,50,50C.mpeg,3240,RC,1,alternative,1,R,YR,-1,1,1,,0,1,,waarschijnlijk wel een vraag-suggestie. multi TCU.
-1,test,51,51C.mpeg,1600,RC,-1,NA,-1,R,YR,-1,-1,1,,0,0,,
-1,test,52,52C.mpeg,2960,RC,-1,NA,-1,R,YR,1,-1,1,,0,1,,multi TCU. C
-1,test,53,53C.mpeg,1000,RC,-1,NA,-1,R,YR,-1,1,1,,1,0,,
-1,test,54,54C.mpeg,3360,YN,-1,NA,-1,R,YR,-1,-1,1,,0,1,,Misschien multi TCU
-1,test,55,55C.mpeg,1800,RC,-1,NA,-1,R,YR,-1,1,1,,0,1,,Probeert zin verder in te vullen voor s2. Onderbreken dus. multi TCU
-1,test,56,56C.mpeg,1520,RC,-1,NA,-1,R,YR,-1,-1,1,,0,0,,
-1,test,57,57C.mpeg,2880,YN,-1,NA,-1,R,YR,-1,-1,-1,,0,0,,
-1,test,58,58C.mpeg,3520,RC,1,wh,-1,R,YR,-1,-1,1,,1,0,,
-1,test,59,59C.mpeg,2120,RC,1,wh,1,R,YR,-1,1,1,,1,1,,"multi TCU. Eerst is duidelijk de vraag, maar daarna lijkt wel wat gemompel, onafgemaakte gebaren of gestures. 'NIET AANGEPAST DIT ZIJN INCREMENTS"
-1,test,60,60C.mpeg,10280,RC,-1,NA,-1,R,YR,-1,-1,1,,0,1,,multi TCU.
-1,train,1,P1C.mpeg,1240,YN,NA,NA,NA,R,YR,NA,NA,NA,,0,0,,non-manual mouthing 'voorstellen' lasts slightly longer than manual material.
-1,train,2,P2C.mpeg,5680,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,final lengthening en turn in overlap. multi TCU. Eerste naamgebaar van iets of iemand herken ik niet.
-1,train,3,P3C.mpeg,2000,RC,NA,NA,NA,R,YR,NA,NA,NA,,1,1,,non-manual mouthing 'zo' lasts slightly longer than manual material. multi TCU
-1,train,4,P4C.mpeg,2720,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,0,,
-1,train,5,P5C.mpeg,2000,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,multi TCU
-1,train,6,P6C.mpeg,1840,RC,NA,NA,NA,R,YR,NA,NA,NA,,1,0,,may be less predictable as the question relates to something earlier on in the discourse
-1,train,7,P7C.mpeg,3240,RC,NA,NA,NA,R,YR,NA,NA,NA,,1,1,alternative,"alternative question, mouthing 'fff' at the end. multi TCU."
-1,train,8,P8C.mpeg,7000,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,"answer, multi-TCU?"
-1,train,9,P9C.mpeg,1800,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,0,,Voor context mis ik de evaluerende mimiek na het manuele deel van C.
-1,train,10,P10C.mpeg,1640,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,0,,"Inhoud onderwerp niet precies duidelijk, lijn van gesprek is wel te volgen. BTW, is dit geen gesture misschien"
-1,train,11,P11C.mpeg,5360,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,annotatie iets eerder laten eindigen. multi TCU
-1,train,12,P12C.mpeg,6880,RC,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,"suggestief, iets opperen. multi TCU."
-1,train,13,P13C.mpeg,2200,YN,NA,NA,NA,R,YR,NA,NA,NA,,1,1,,multi-TCU
-1,train,14,P14C.mpeg,4400,YN,NA,NA,NA,R,YR,NA,NA,NA,,0,0,,"zin onafgemaakt, S2 neemt beurt over. Betekent waarschijnlijk niet geschikt."
-1,train,15,P15C.mpeg,2120,YN,NA,NA,NA,R,YR,NA,NA,NA,,1,1,OIR,"OIR. Meer constatering dan vraag. Heb hiernaast aangepast naar NQ. multi TCU. Of gaat het om de rechterpersoon, in dat geval een vage bevestigingsvraag"
-1,train,16,P16C.mpeg,4680,YN,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,multi TCU.
-1,train,17,P17C.mpeg,2920,YN,NA,NA,NA,R,YR,NA,NA,NA,,1,1,,overlapped . multi TCU
-1,train,18,P18C.mpeg,2120,YN,NA,NA,NA,R,YR,NA,NA,NA,,1,1,alternative,"alternative question, multi TCU"
-1,train,19,P19C.mpeg,2840,YN,NA,NA,NA,R,YR,NA,NA,NA,,0,1,,multi TCU
-1,train,20,P20C.mpeg,4640,YN,NA,NA,NA,R,YR,NA,NA,NA,,1,1,OIR,"OIR, multi TCU."
1,extra,1,R1C.mpeg,1640,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,0,,multi TCU. Misschien te gevoelig onderwerp
1,extra,2,R2C.mpeg,4120,MZ,NA,NA,NA,O,MM,NA,NA,NA,,0,0,,"ietsiepietsie te persoonlijk voor mij, ook omdat hier context mist,uitleg erna"
1,test,1,1C.mpeg,1440,MG,1,polar,-1,O,MM,1,-1,1,,1,0,,"kan zijn dat mensen het gebaar voor Tiel niet kennen als ze uit een andere regio komen, de zin eindigt wel voorspelbaar"
1,test,2,2C.mpeg,2920,MG,-1,NA,1,O,MM,1,-1,1,"2 segments, not inserted",0,1,,multi TCU met toelichting op antwoord
1,test,3,3C.mpeg,2400,MG,-1,NA,-1,O,MM,-1,-1,1,,1,0,,
1,test,4,4C.mpeg,3880,MZ,-1,NA,1,O,MM,-1,1,1,"3 segments, not inserted",0,0,,
1,test,5,5C.mpeg,1560,MZ,1,polar,-1,O,MM,-1,-1,1,,1,0,confirmation,confirmation question
1,test,6,6C.mpeg,1400,MG,1,polar,-1,O,MM,1,-1,1,,1,0,confirmation,confirmation question
1,test,7,7C.mpeg,4480,MG,1,alternative,1,O,MM,-1,-1,1,"Lots of hedging; 2 segments, not inserted (Connie dissents)",1,1,,multi TCU of-vraag
1,test,8,8C.mpeg,1960,MG,1,polar,-1,O,MM,-1,1,1,,1,0,confirmation,confirmation question
1,test,9,9C.mpeg,6040,MG,-1,NA,-1,O,MM,1,-1,1,,0,0,,
1,test,10,10C.mpeg,1880,MZ,-1,NA,-1,O,MM,-1,-1,1,,1,1,confirmation,"multi TCU, confirmation question"
1,test,11,11C.mpeg,5000,MG,1,wh,-1,O,MM,1,1,1,Lots of hedging,1,1,,"multi TCU, overlapping"
1,test,12,12C.mpeg,2480,MG,1,wh,-1,O,MM,-1,-1,1,,1,0,,
1,test,13,13C.mpeg,1720,MG,1,polar,1,O,MM,-1,1,1,,1,0,,
1,test,14,14C.mpeg,2280,MG,-1,NA,-1,O,MM,1,1,1,,1,0,confirmation,"confirmation question, overlapping"
1,test,15,15C.mpeg,2200,MG,1,polar,-1,O,MM,-1,-1,1,,1,0,confirmation,confirmation question
1,test,16,16C.mpeg,4360,MG,-1,NA,1,O,MM,1,1,1,more confirmation question,1,0,confirmation,"confirmation question, overlapping, hapering door overlap"
1,test,17,17C.mpeg,4200,MZ,-1,NA,-1,O,MM,1,-1,1,,0,0,,continuation of signer's own turn.
1,test,18,18C.mpeg,3160,MZ,1,polar,-1,O,MM,1,1,1,,1,0,alternative,alternative question
1,test,19,19C.mpeg,1920,MZ,1,polar,-1,O,MM,-1,-1,1,,1,0,,
1,test,20,20C.mpeg,2400,MZ,1,polar,1,O,MM,-1,1,1,,1,1,alternative,"alternative question, multi TCU. Onderwerp 20A niet direct duidelijk"
1,test,21,21C.mpeg,1840,MG,1,polar,-1,O,MM,-1,1,1,,1,1,,Multi TCU
1,test,22,22C.mpeg,1480,MZ,1,polar,-1,O,MM,-1,-1,1,,1,0,alternative,alternative question
1,test,23,23C.mpeg,1160,MZ,1,polar,-1,O,MM,-1,1,1,,1,0,,"twijfelgeval over eindgrens vraag, waaerschijnlijk omdat context mist voor kijker. Mariko kan al halverwege de vraag reageren omdat context voor haar duidelijk is"
1,test,24,24C.mpeg,2360,MZ,1,wh,-1,O,MM,-1,-1,1,,1,0,,wel herhaling (inhoudelijk gezien) maar geen multiple TCU op basis van prosodie
1,test,25,25C.mpeg,3000,MZ,-1,NA,-1,O,MM,1,-1,1,,0,0,,
1,test,26,26C.mpeg,1720,MG,-1,NA,-1,O,MM,1,-1,1,,0,0,,
1,test,27,27C.mpeg,2720,MG,1,polar,-1,O,MM,-1,-1,-1,,1,0,rhetorical,rhetorical question. Of confirmation question
1,test,28,28C.mpeg,4280,MZ,-1,NA,-1,O,MM,1,-1,1,prosodic boundary that isn't a full TCU,0,0,,
1,test,29,29C.mpeg,2360,MZ,1,polar,1,O,MM,1,-1,-1,,1,1,,multi TCU . eigen mening afbreken en een vraag starten. Vraag 2 x
1,test,30,30C.mpeg,1520,MZ,-1,NA,-1,O,MM,-1,-1,1,,0,0,,
1,test,31,31C.mpeg,2480,MZ,1,polar,-1,O,MM,-1,-1,1,,1,1,alternative,"alternative question, multi TCU."
1,test,32,32C.mpeg,2040,MG,-1,NA,-1,O,MM,-1,-1,1,,0,0,,
1,test,33,33C.mpeg,1600,MZ,-1,NA,-1,O,MM,-1,1,1,,0,0,,Mogelijk gevoelige info (mijn vriend is horend). overlapping
1,test,34,34C.mpeg,3920,MG,-1,NA,-1,O,MM,-1,1,1,confirmation; has an internal prosodic boundary but it's too fast to be a full TCU,0,0,,overlapping. Het zou kunnen dat sommige doven het woord ijdele hoop niet kennen.
1,test,35,35C.mpeg,3280,MG,-1,NA,-1,O,MM,-1,1,1,,0,1,,multi TCU
1,test,36,36C.mpeg,5280,MG,-1,NA,1,O,MM,1,-1,1,,0,1,,overlapping en multi TCU. Is misschien niet direct een vraag als wel een specificering van een gestelde vraag
1,test,37,37C.mpeg,2360,MZ,-1,NA,-1,O,MM,1,-1,-1,,0,0,,
1,test,38,38C.mpeg,3680,MZ,-1,NA,-1,O,MM,1,1,-1,confirmation,1,1,,Multi TCU en overlapping
1,test,39,39C.mpeg,4760,MG,-1,NA,-1,O,MM,1,-1,1,,0,0,,
1,test,40,40C.mpeg,3840,MG,1,wh,1,O,MM,1,1,1,,1,0,,overlapping
1,test,41,41C.mpeg,1560,MZ,-1,NA,-1,O,MM,1,1,1,confirmation (borderline),1,1,,Multi TCU en overlapping
1,test,42,42C.mpeg,1880,MZ,1,polar,-1,O,MM,1,1,1,,1,1,,"Multi TCU waarschijnlijk, door herhaling. Is wel erg snel. Gaat over moedertaal van moeder, te persoonlijk misschien"
1,test,43,43C.mpeg,1280,MZ,1,polar,-1,O,MM,-1,-1,1,,1,0,,
1,test,44,44C.mpeg,3000,MZ,1,polar,1,O,MM,1,1,1,,1,1,,Multi TCU en overlapping
1,test,45,45C.mpeg,6160,MG,-1,NA,-1,O,MM,1,-1,1,,0,1,,Multi TCU
1,test,46,46C.mpeg,2280,MZ,-1,NA,-1,O,MM,1,1,-1,,0,0,,Overlapping
1,test,47,47C.mpeg,2040,MZ,-1,NA,-1,O,MM,-1,-1,1,,0,0,,
1,test,48,48C.mpeg,2640,MG,-1,NA,-1,O,MM,-1,1,1,,0,1,,"Overlapping, onderbreking, multi TCU"
1,test,49,49C.mpeg,1280,MG,-1,NA,-1,O,MM,-1,-1,1,,0,0,,Overlapping
1,test,50,50C.mpeg,1560,MG,-1,NA,-1,O,MM,1,-1,1,,0,0,,Standpunt in 50 maar niet duidelijk waarover
1,test,51,51C.mpeg,4360,MZ,-1,NA,-1,O,MM,1,-1,1,,0,1,confirmation,"Overlapping, multi TCU. Ook iets van een confirmation question in. dus je bent daar en daar geweest."
1,test,52,52C.mpeg,3120,MZ,-1,NA,-1,O,MM,1,-1,-1,,0,1,,Multi TCU en overlapping
1,test,53,53C.mpeg,3560,MZ,-1,NA,-1,O,MM,1,1,1,,0,1,,multi TCU
1,test,54,54C.mpeg,4800,MG,1,polar,-1,O,MM,1,-1,1,,0,1,,Multi TCU en overlapping
1,test,55,55C.mpeg,5480,MZ,-1,NA,-1,O,MM,1,1,1,,1,1,,"Overlapping, multi TCU. Aan het eind van 55C komt er een klein vraagelement voor."
1,test,56,56C.mpeg,2000,MZ,-1,NA,-1,O,MM,-1,-1,1,,0,0,,
1,test,57,57C.mpeg,1000,MG,1,polar,-1,O,MM,1,-1,1,,1,0,confirmation-OIR,clarification question
1,test,58,58C.mpeg,1240,MG,-1,NA,-1,O,MM,1,-1,-1,,0,0,,
1,test,59,59C.mpeg,3560,MZ,1,polar,1,O,MM,-1,-1,1,,1,1,,Deel 59A context is niet duidelijk. Vraag 59C is wel duidelijk. Multi TCU
1,test,60,60C.mpeg,2000,MZ,-1,NA,-1,O,MM,-1,-1,1,,0,1,,multi TCU
1,train,1,P1C.mpeg,2720,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,,"multi TCU, onderbreking door R zelf. Eventueel te afwijkend, als oefening. Overlapping"
1,train,2,P2C.mpeg,2920,MZ,NA,NA,NA,O,MM,NA,NA,NA,,0,0,,multi-TCU. overlapping
1,train,3,P3C.mpeg,2440,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,confirmation,"confirmation question, overlapping"
1,train,4,P4C.mpeg,2720,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,,multi TCU. Twijfel bij vraag of er ook een vorm van Alternative Question in voorkomt.
1,train,5,P5C.mpeg,1480,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,multi TCU
1,train,6,P6C.mpeg,1280,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,multi TCU
1,train,7,P7C.mpeg,2880,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,answer,"multi TCU, answer to question. Persoonlijk, maar ik ga er voorzichtig van uit dat Mariko dit goed vindt"
1,train,8,P8C.mpeg,1760,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,answer,"answer to question. Overlapping. Multi TCU. Misschien te persoonlijk, omdat context hier weg is. Lijkt de vraag groter van betekenis dan ie is."
1,train,9,P9C.mpeg,2000,MZ,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,"multi TCU. Overlapping. Misschien dat doven hier teveel de inhoud herkennen, in het kader van gevoelige onderwerpen"
1,train,10,P10C.mpeg,4280,MZ,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,een lange ertussen. Multi TCU
1,train,11,P11C.mpeg,4200,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,multi TCU
1,train,12,P12C.mpeg,5280,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,"multi-TCU. P12 heb ik iets eerder laten starten om context duidelijk te krijgen. P12 ook iets eerder laten eindigen, of het zou nog een zin helemaal door moeten lopen, voor een afgerond deel."
1,train,13,P13C.mpeg,6800,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,multi TCU
1,train,14,P14C.mpeg,1400,MG,NA,NA,NA,O,MM,NA,NA,NA,,1,0,,
1,train,15,P15C.mpeg,3800,MG,NA,NA,NA,O,MM,NA,NA,NA,,0,1,,multi TCU. Te gevoelig onderwerp misschien
1,train,16,P16C.mpeg,1360,MZ,NA,NA,NA,O,MM,NA,NA,NA,,0,0,,"Er zit ook iets van een vraag in, na {verste{, dan antwoord. Veranderen in QU of niet..."
1,train,17,P17C.mpeg,4600,MG,NA,NA,NA,O,MM,NA,NA,NA,,1,1,,Multi TCU. Alternative question. Overlapping
1,train,18,P18C.mpeg,1480,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,confirmation,"clarification question. Multi TCU. Niet duidelijk wat het onderwerp is, wat ze evalueren. De evaluatie zelf is wel duidelijk"
1,train,19,P19C.mpeg,2320,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,,"Multi TCU, herhaling. Net als hiervoor vraag P18 onderwerp niet duidelijk, gesprek zelf wel."
1,train,20,P20C.mpeg,3200,MZ,NA,NA,NA,O,MM,NA,NA,NA,,1,1,,"Gespreksonderwerp hier ook niet duidelijk. Multi TCU. vraag eindigt met mondbeeld OF en klein hoofdschudden. Toch een of'niet vraag misschien. Opvallend aan deze C gedeelte is dat het onderdeel is P20A. De vraag begint bij A eigenlijk al, maar bij C wordt het concreter."
